arm,feature_set,cell,n,ks_D,ks_p,powered,leak_sized
lognormal,D_plus_season,DREB | 35-119,19776,0.11238545166218183,5.024427497611603e-218,True,True
lognormal,D_plus_season,DREB | 600+,125715,0.06408561060503276,0.0,True,True
lognormal,D_plus_season,TOV | 0-34,2984,0.24854110870849083,7.240499807283817e-163,True,True
lognormal,D_plus_season,TOV | 120-299,18055,0.11708482924018648,4.192293681751782e-216,True,True
lognormal,D_plus_season,TOV | 300-599,30745,0.10397741888170797,7.276159462144548e-290,True,True
lognormal,D_plus_season,TOV | 35-119,9196,0.07374504225419987,6.15367200475832e-44,True,True
lognormal,D_plus_season,TOV | 600+,63019,0.08218296289299937,0.0,True,True
lognormal,D_plus_season,made_FG | 0-34,5322,0.3031692490624379,0.0,True,True
lognormal,D_plus_season,made_FG | 120-299,40350,0.21153666573341404,0.0,True,True
lognormal,D_plus_season,made_FG | 300-599,67288,0.17888636506294495,0.0,True,True
lognormal,D_plus_season,made_FG | 35-119,19323,0.1363937918260088,5.354277402e-314,True,True
lognormal,D_plus_season,made_FG | 600+,137113,0.13380481720717202,0.0,True,True
lognormal,D_plus_season,made_FT | 0-34,4977,0.3302907490119322,0.0,True,True
lognormal,D_plus_season,made_FT | 120-299,12683,0.2322950206477433,0.0,True,True
lognormal,D_plus_season,made_FT | 300-599,16571,0.21154822776755278,0.0,True,True
lognormal,D_plus_season,made_FT | 35-119,8641,0.10232859136261374,3.1515676650731644e-79,True,True
lognormal,D_plus_season,made_FT | 600+,23057,0.16856704311912332,0.0,True,True
lognormal,D_plus_season,other | 0-34,422,0.22916573698436637,5.795202730368764e-20,True,True
lognormal,D_plus_season,other | 120-299,548,0.10228491664745731,1.913556768163575e-05,True,True
lognormal,D_plus_season,other | 300-599,830,0.12062828359980071,5.549136755210071e-11,True,True
lognormal,D_plus_season,other | 35-119,352,0.1773218427123996,3.7458882313244454e-10,True,True
lognormal,D_plus_season,other | 600+,1365,0.1686233548897339,2.1340675334715864e-34,True,True
lognormal,D_plus_season,period_start | 300-599,356,0.3132839135408889,1.5126695190058099e-31,True,True
lognormal,D_plus_season,period_start | 600+,10637,0.0794140295141772,8.502943616176824e-59,True,True
gamma,A_state,DREB | 0-34,6552,0.20775615574817874,1.578801903943655e-248,True,True
gamma,A_state,DREB | 120-299,39095,0.10509113751420424,0.0,True,True
gamma,A_state,DREB | 300-599,64535,0.05564447719336918,4.020115129068362e-174,True,True
gamma,A_state,DREB | 35-119,19776,0.06296580411505748,1.3214126658502112e-68,True,True
gamma,A_state,DREB | 600+,125715,0.02437740477721817,2.487294449639499e-65,True,False
